chip,event,threshold_db,all_iou,all_recall,all_precision,all_n_pos,cropland_iou,cropland_recall,cropland_precision,cropland_n_pos,open_water_iou,open_water_recall,open_water_precision,open_water_n_pos,vegetation_iou,vegetation_recall,vegetation_precision,vegetation_n_pos
India_624341,India,-14.131017684936523,0.020688368332257838,0.8253722084367245,0.02077932219272216,3224,0.03418124006359301,0.8269230769230769,0.0344275420336269,104,nan,nan,nan,0,0.015972595486598583,0.8031464300121016,0.016035372856648116,2479
India_631692,India,-13.988082885742188,0.006216377764494919,0.9077306733167082,0.006220308281212618,802,0.0036231884057971015,1.0,0.0036231884057971015,1,nan,nan,nan,0,0.006110154167844993,0.9059720457433291,0.006114031401939683,787
India_652725,India,-17.344898223876953,0.17748482778023392,0.810461114934618,0.18517081966182006,21795,0.1653572992168118,0.8409821870361207,0.17069435203434727,16168,0.5403225806451613,0.9054054054054054,0.5726495726495726,74,0.1554444618028433,0.6141975308641975,0.1722645429362881,3240
India_664410,India,-17.468090057373047,0.08854099833183626,0.765192961703386,0.09101381475391096,13526,0.06663161196287891,0.7571278825995807,0.06808691143894047,9540,1.0,1.0,1.0,4,0.12597402597402596,0.6432360742705571,0.13543702876291538,754
India_691027,India,-15.237638473510742,0.07258239768199927,0.8355968548963545,0.073633929977429,8394,0.08279680389237254,0.8444919786096257,0.08407871198568873,4675,nan,nan,nan,0,0.038353561093594786,0.7632144391920929,0.038815430007649435,2327
India_698338,India,-16.246192932128906,0.1047326338597049,0.8951288244766505,0.10603369138878622,9936,0.0727887323943662,0.8666155615178229,0.07361343990623322,5218,nan,nan,nan,0,0.013839226592504304,0.7385159010600707,0.013907372903912696,283
India_70352,India,-19.113689422607422,0.5035327160222934,0.8700333636639369,0.5444882076590898,13188,0.11835859745827591,0.5258503401360545,0.13249914295509085,1470,0.8889905857740585,0.9515745276417075,0.9311147630786086,7145,0.3391232423490488,0.7378524295140971,0.38557993730407525,1667
India_707886,India,-15.082639694213867,0.06148116762928439,0.9728299223712068,0.06158691864361346,5668,0.01966244107374026,0.9793187347931873,0.019670608933633076,822,0.8751232336510023,0.9866617265653946,0.8856002660458929,2699,0.02368130350731842,0.9363057324840764,0.02371951500622378,1099
India_73419,India,-15.425554275512695,0.05302462628751413,0.667786308381318,0.054461257500652234,6252,0.0521867407150295,0.7698412698412699,0.05301387493168315,3906,nan,nan,nan,0,0.04368149580915538,0.44867549668874174,0.046159087037983305,1812
India_747970,India,-14.359905242919922,0.04907834353745222,0.8949470740962653,0.04936272403802725,5007,0.04630827021368311,0.864367816091954,0.04664723032069971,870,0.9234972677595629,1.0,0.9234972677595629,338,0.03286104472516217,0.9288299155609168,0.03294399520814615,2487
India_747992,India,-19.81869888305664,0.5674025565500872,0.6764801145565197,0.7787087912087912,117322,0.5756320902727492,0.6820050403045631,0.7868093573763055,111898,0.3333333333333333,0.3333333333333333,1.0,3,0.43297380585516176,0.5650134048257373,0.6494607087827426,1492
India_764946,India,-14.110589981079102,0.026787037037037036,0.9195804195804196,0.026849935497044,3146,0.33707865168539325,0.8571428571428571,0.35714285714285715,140,0.8718330849478391,0.9637561779242174,0.901386748844376,607,0.019447124617099607,0.9153439153439153,0.0194821648101052,2268
India_769408,India,-16.802841186523438,0.10108975178665303,0.8290608249825215,0.10324162748853677,8582,0.09642668544270375,0.8397976391231029,0.0982336591051735,6523,0.7101449275362319,0.937799043062201,0.7452471482889734,209,0.04365178348715391,0.625,0.044825819672131145,560
India_772630,India,-13.710708618164062,0.01554928049126355,0.937546468401487,0.01556540308345574,1345,0.13114754098360656,1.0,0.13114754098360656,16,0.7647058823529411,1.0,0.7647058823529411,26,0.006153420244626768,0.9055555555555556,0.006157371847337472,540
India_773682,India,-17.09615707397461,0.24282142198356255,0.7653670984204917,0.2623508049336788,30959,0.2528635053119286,0.7631623497545286,0.2743961823139852,29535,0.0,nan,0.0,0,0.07831504004746366,0.7405329593267882,0.08052463016623455,713
India_774689,India,-17.570446014404297,0.19567446504222996,0.7732046702564376,0.20758903011565327,18757,0.1728241503344875,0.7952049497293117,0.18087464377440804,12930,0.4091441969519343,0.49363507779349364,0.705050505050505,707,0.28345894486314954,0.7995077198478406,0.3051498847040738,4469
