chip,event,threshold_db,all_iou,all_recall,all_precision,all_n_pos,cropland_iou,cropland_recall,cropland_precision,cropland_n_pos,open_water_iou,open_water_recall,open_water_precision,open_water_n_pos,vegetation_iou,vegetation_recall,vegetation_precision,vegetation_n_pos
USA_1082482,USA,nan,0.3566029346376167,0.36355394378966455,0.9491124260355029,2206,0.0,0.0,nan,217,0.7861570247933884,0.807855626326964,0.9669631512071156,942,0.01700318809776833,0.017297297297297298,0.5,925
USA_11422,USA,nan,0.5789369476393613,0.8929483620210994,0.6221156263902052,36020,0.3097084048027444,0.8348437211022748,0.32992252594649907,10814,0.9223261816422004,0.9418887195749763,0.9779773358990806,24281,0.22372881355932203,0.26018396846254926,0.6149068322981367,761
USA_114964,USA,nan,0.03571428571428571,0.07909604519774012,0.0611353711790393,354,0.0,nan,0.0,0,0.16666666666666666,0.16666666666666666,1.0,18,0.032640949554896145,0.05339805825242718,0.07746478873239436,206
USA_115033,USA,nan,0.3971462544589774,0.42475625264942773,0.8593481989708405,2359,0.0,0.0,nan,5,0.8326226012793176,0.881489841986456,0.9375750300120048,886,0.1021021021021021,0.11038961038961038,0.576271186440678,1232
USA_170264,USA,nan,0.7038712706474881,0.7575973354772022,0.9084699077262085,43535,0.8108259092646497,0.8465174816588391,0.9505704732687601,32577,0.6646616541353384,0.8435114503816794,0.758147512864494,524,0.4099892902346412,0.46092381786339753,0.7876917321361766,9136
USA_179917,USA,nan,0.34774933804060015,0.7710371819960861,0.38779527559055116,511,nan,nan,nan,0,0.6573426573426573,0.912621359223301,0.7014925373134329,412,0.015,0.038461538461538464,0.024,78
USA_181263,USA,nan,0.013504044843620612,0.19906103286384977,0.01427994072477435,1065,0.0,0.0,0.0,10,0.7177914110429447,0.8357142857142857,0.8357142857142857,140,0.044444444444444446,0.07218683651804671,0.10365853658536585,471
USA_181503,USA,nan,0.12132752992383025,0.37353433835845895,0.1523224043715847,1194,0.006211180124223602,0.2727272727272727,0.00631578947368421,11,0.842741935483871,0.8931623931623932,0.9372197309417041,234,0.046810117025292565,0.18289085545722714,0.05918854415274463,678
USA_19225,USA,nan,0.14915395863797787,0.5132997843278218,0.17372262773722627,1391,0.05417051400430902,0.8461538461538461,0.05470935654336338,208,0.7957610789980732,0.8178217821782178,0.9672131147540983,505,0.08462455303933254,0.13295880149812733,0.18882978723404256,534
USA_198411,USA,nan,0.605758692836505,0.6958910381137691,0.8238482384823849,8737,0.0,0.0,0.0,1,0.939238064619836,0.9440943609629989,0.9945531914893617,6189,0.06634106634106635,0.06803005008347246,0.7276785714285714,2396
USA_211406,USA,nan,0.4364123159303882,0.5769911504424778,0.6417322834645669,1130,0.0,0.0,0.0,20,0.8244274809160306,0.9045226130653267,0.903010033444816,597,0.03577512776831346,0.06422018348623854,0.07473309608540925,327
USA_217598,USA,nan,0.6548577914565734,0.6629908731298756,0.9816117527729608,45251,0.8539493748093931,0.8606952940091599,0.9909052303772383,32533,0.4776386404293381,0.49080882352941174,0.9468085106382979,544,0.13356841833663025,0.13691263334214934,0.8454001088731627,11343
USA_224165,USA,nan,0.12834224598930483,0.14906832298136646,0.48,161,0.0,0.0,0.0,18,0.4666666666666667,0.4666666666666667,1.0,30,0.07692307692307693,0.07692307692307693,1.0,91
USA_225017,USA,nan,0.6711709370614833,0.7696066746126341,0.8399349593495935,16780,0.16896186440677965,0.332811684924361,0.2555066079295154,1917,0.8639049042636486,0.8782199710564399,0.9814814814814815,13820,0.032564450474898234,0.033566433566433566,0.5217391304347826,715
USA_231124,USA,nan,0.061596958174904945,0.0632977337848398,0.6962750716332379,3839,0.0,0.0,0.0,34,0.9382716049382716,0.9382716049382716,1.0,81,0.022069360848380626,0.022126436781609197,0.8953488372093024,3480
USA_232060,USA,nan,0.11066011535996582,0.3023934617629889,0.14859437751004015,1713,0.0,0.0,0.0,102,0.7281021897810219,0.8176229508196722,0.869281045751634,488,0.023148148148148147,0.02518891687657431,0.2222222222222222,794
USA_251323,USA,nan,0.13746065057712487,0.1884892086330935,0.33676092544987146,695,0.0,0.0,0.0,105,0.8072289156626506,1.0,0.8072289156626506,67,0.04690117252931323,0.06349206349206349,0.15217391304347827,441
USA_260929,USA,nan,0.1061254887358034,0.11354581673306773,0.6188925081433225,5020,0.0027548209366391185,0.005208333333333333,0.005813953488372093,192,0.6166666666666667,0.6166666666666667,1.0,60,0.04272959183673469,0.044195250659630606,0.5630252100840336,3032
USA_275372,USA,nan,0.21481481481481482,0.22373254959588537,0.8434903047091413,2722,0.0,0.0,0.0,26,0.8,0.806941431670282,0.9893617021276596,461,0.07172131147540983,0.07575757575757576,0.5737704918032787,1848
USA_308150,USA,nan,0.4374508261211644,0.5737874097007224,0.6480186480186481,2907,0.0,nan,0.0,0,0.7644096250699496,0.8463444857496902,0.8875893437296946,1614,0.0979020979020979,0.13097713097713098,0.2793791574279379,962
USA_347609,USA,nan,0.2034496275970208,0.3160779537149817,0.3634453781512605,1642,0.3333333333333333,0.5142857142857142,0.4864864864864865,210,0.5030674846625767,0.7109826589595376,0.6323907455012854,346,0.0764449968924798,0.1268041237113402,0.16141732283464566,970
USA_348639,USA,nan,0.5534445775412987,0.7316417470722546,0.6944075498077595,27154,0.19798399507540781,0.5152182619142972,0.2433096926713948,4994,0.8928291228620744,0.9045625563033226,0.9856796396812565,18871,0.037037037037037035,0.0409670920080591,0.2785388127853881,2978
USA_350244,USA,nan,0.1196029776674938,0.18754863813229572,0.2481977342945417,1285,0.00625,0.030303030303030304,0.0078125,33,0.5252525252525253,0.5683060109289617,0.8739495798319328,183,0.07996702390766694,0.1127906976744186,0.21555555555555556,860
USA_354981,USA,nan,0.2079479273723878,0.35208816705336426,0.33684794672586016,1724,nan,nan,nan,0,0.6613333333333333,0.6739130434782609,0.9725490196078431,736,0.05742821473158552,0.0638002773925104,0.36507936507936506,721
USA_366607,USA,nan,0.875439407026495,0.883568170299037,0.9896003633060854,49325,0.3853092783505155,0.4008042895442359,0.9088145896656535,746,0.9460960398439738,0.9477669602843456,0.9981400106949385,45297,0.08849557522123894,0.09929078014184398,0.44871794871794873,2820
USA_375183,USA,nan,0.30459700036580906,0.38324639459957044,0.5974647213585267,6518,0.0,0.0,0.0,4,0.7536800785083415,0.7820773930753564,0.9540372670807453,2946,0.01881377551020408,0.019529956967891428,0.3390804597701149,3021
USA_387945,USA,nan,0.4629331961679419,0.5351966104214674,0.7741935483870968,13453,0.4367576034460253,0.4914084300190924,0.7970462124821344,6809,1.0,1.0,1.0,23,0.43219308907796494,0.5167116462528545,0.7254444768289129,4817
USA_430764,USA,nan,0.4775724223860451,0.5958287453850638,0.706419904776532,15439,0.485004037374553,0.6142888450580758,0.6973793332227567,13689,0.0,0.0,nan,29,0.16731016731016732,0.19145802650957292,0.5701754385964912,679
USA_438959,USA,nan,0.6336957945761824,0.7674123433285737,0.7843359818388195,6303,0.0,0.0,0.0,1,0.8181657223796034,0.8455626715462031,0.9619067443796836,5465,0.06819630337794774,0.19669117647058823,0.09452296819787986,544
USA_486103,USA,nan,0.11593886462882096,0.14664457332228667,0.35637583892617447,7242,0.0,0.0,0.0,196,0.6756965944272446,0.7232808616404308,0.9112734864300627,1207,0.02216710587505813,0.025887038377986966,0.1336448598130841,5524
USA_504150,USA,nan,0.349691146190803,0.624770079705702,0.4426585577758471,3262,0.0,0.0,0.0,42,0.7277648878576953,0.7691050265631385,0.9312221672439387,2447,0.09375,0.19170984455958548,0.15502793296089384,579
USA_519181,USA,nan,0.23078954317401637,0.40613382899628253,0.34834595456357115,2152,0.0,0.0,nan,1,0.5712230215827339,0.6126543209876543,0.8941441441441441,1296,0.02756598240469208,0.07264296754250386,0.04253393665158371,647
USA_527077,USA,nan,0.0441435424130184,0.4416767922235723,0.0467524115755627,1646,0.0019642230796211857,0.34146341463414637,0.0019716921343567355,82,0.7940199335548173,0.8722627737226277,0.8984962406015038,548,0.08740359897172237,0.11544991511035653,0.26459143968871596,589
USA_58086,USA,nan,0.5408024811009886,0.8776896942242356,0.5848811370592428,15894,0.5496709636707834,0.9469638142568721,0.5671301678835511,12878,0.8382749326145552,0.9067055393586005,0.9174041297935103,686,0.34219769192172605,0.44,0.6062222222222222,1550
USA_595451,USA,nan,0.3362354437597316,0.7467731722760703,0.3795049504950495,20531,0.36567841476327334,0.943291929505105,0.37389802546785583,15377,0.9552238805970149,0.960960960960961,0.9937888198757764,333,0.07733598409542744,0.0859288712171416,0.43609865470852016,4527
USA_604222,USA,nan,0.12446800278573086,0.48441499774130403,0.14347515832664348,6641,0.0014202993554026002,0.24299065420560748,0.0014266117969821673,107,0.8670212765957447,0.8972477064220183,0.9625984251968503,3270,0.011653543307086614,0.013770003721622627,0.07047619047619047,2687
USA_605492,USA,nan,0.040478285625549976,0.2580006598482349,0.04581136496777973,3031,0.013398369967893307,0.6078431372549019,0.013515196811160937,357,0.7140221402214022,0.80625,0.8619153674832962,480,0.02456778889899909,0.029094827586206896,0.13636363636363635,1856
USA_638521,USA,nan,0.09276278001148765,0.12509682416731216,0.26410466067048244,5164,0.029017857142857144,0.05,0.06467661691542288,520,0.0,0.0,nan,1,0.013550757923748278,0.019312602291325694,0.04344624447717231,3055
USA_646878,USA,nan,0.27038468617706607,0.606023102310231,0.32804823581956233,2424,0.2906040268456376,0.7984019668100799,0.3136166103331724,1627,0.8604651162790697,0.9135802469135802,0.9367088607594937,81,0.08254397834912043,0.09428129829984544,0.39869281045751637,647
USA_652955,USA,nan,0.3693854748603352,0.5815644423595637,0.5030942477427209,8527,0.08293032419845961,0.33142448103078026,0.099591309959131,1397,0.7671232876712328,0.9491525423728814,0.8,59,0.3088410991636798,0.3522998296422487,0.7145818935729095,2935
USA_655230,USA,nan,0.18577254191209788,0.35807860262008734,0.27853260869565216,1145,0.0,0.0,0.0,6,0.739406779661017,0.8470873786407767,0.8533007334963325,412,0.01606425702811245,0.017391304347826087,0.17391304347826086,460
USA_66026,USA,nan,0.2800982800982801,0.3465045592705167,0.59375,987,0.0,0.0,0.0,25,0.8041237113402062,0.8297872340425532,0.9629629629629629,282,0.07121212121212121,0.09533468559837728,0.21962616822429906,493
