chip,n_valid,vv_offset_median,vh_offset_median,vv_corr,vh_corr,otsu_vh_global_sigma0_bright_rec,otsu_vh_global_sigma0_crop_prec,otsu_vh_global_gamma0_bright_rec,otsu_vh_global_gamma0_crop_prec,unet_vv_ce_sigma0_bright_rec,unet_vv_ce_sigma0_crop_prec,unet_vv_ce_gamma0_bright_rec,unet_vv_ce_gamma0_crop_prec,unet_vvvh_cropw_sigma0_bright_rec,unet_vvvh_cropw_sigma0_crop_prec,unet_vvvh_cropw_gamma0_bright_rec,unet_vvvh_cropw_gamma0_crop_prec
Mekong_1443339,262135,2.008228302001953,3.3873214721679688,0.7088095554040048,0.6885130277760132,0.0,0.9964007283901439,0.5049254862338974,0.98912069426321,0.5488759787825208,0.9941857222532069,0.5301843899974741,0.9901473379734249,0.8403637282141955,0.988552397389569,0.24955796918413742,0.9510259224858566
Mekong_16233,262132,1.6425995826721191,1.9829368591308594,0.8882008469034192,0.8774397783585235,0.0,0.9885891597017167,0.49101796407185627,0.9922452660054103,0.6227544910179641,0.987653400904258,0.5089820359281437,0.992867260218535,0.7245508982035929,0.9864647514413679,0.043912175648702596,0.8762135922330098
Mekong_213094,229843,1.6192541122436523,1.7644357681274414,0.3316215922566119,0.32222512336232095,0.0,0.04628999319264806,0.21212121212121213,0.13934426229508196,0.0,0.0,0.0,nan,0.0,0.03508771929824561,0.0,nan
Mekong_221789,215327,1.6091947555541992,1.7242355346679688,0.4617628800471732,0.4454959634892292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mekong_254910,205495,1.6081171035766602,1.750335693359375,0.6663763481271785,0.682577236988554,0.0,0.0073587907716786,0.0,0.003629764065335753,0.0,0.0,0.0,0.0,0.1388888888888889,0.007513988808952838,0.0,0.0
Mekong_269835,212236,1.5543708801269531,1.6554603576660156,0.28644733978627496,0.3025492953094988,0.0,0.20205686630369027,0.18867924528301888,0.6050632911392405,0.16981132075471697,0.8248407643312102,0.16981132075471697,0.7153558052434457,0.3018867924528302,0.6652719665271967,0.20754716981132076,0.6276923076923077
Mekong_293769,230540,1.8004271984100342,2.1280908584594727,0.8343052831204866,0.7999908033714619,0.0,0.42143349414197107,0.21945701357466063,0.5419635787806809,0.4819004524886878,0.7866333095067906,0.22624434389140272,0.7398101619207147,0.9502262443438914,0.40126404494382023,0.40497737556561086,0.6682825484764543
Mekong_333434,203133,1.702465534210205,1.9734392166137695,0.4913415520134177,0.5102340360650705,0.0,0.2004296455424275,0.07692307692307693,0.29289940828402367,0.005917159763313609,0.3778801843317972,0.011834319526627219,0.2890625,0.22287968441814596,0.2915642915642916,0.01775147928994083,0.32653061224489793
Mekong_342411,262141,1.5801382064819336,1.7271995544433594,0.5665710860397323,0.5798299294712169,0.0,0.855887630715921,0.46938775510204084,0.9082445532200787,0.5158730158730159,0.9700775766531216,0.3979591836734694,0.9566446748350612,0.7630385487528345,0.9098204050439435,0.08956916099773243,0.8854166666666666
Mekong_382276,262111,1.5284957885742188,1.6202163696289062,0.6283961305364382,0.6006810500671415,0.0,0.9637826961770624,1.0,0.9835886214442013,0.7727272727272727,0.9938398357289527,0.7727272727272727,0.9956379498364231,0.7727272727272727,0.9938650306748467,0.5909090909090909,0.9923076923076923
Mekong_424793,258487,1.4831657409667969,1.5720500946044922,0.17764964705206157,0.20270679164057662,0.0,0.6273078574495492,0.20708446866485014,0.6266531027466938,0.15803814713896458,0.7648054145516074,0.10354223433242507,0.7899408284023669,0.2888283378746594,0.67293997965412,0.08174386920980926,0.6865671641791045
Mekong_45934,261859,1.504683017730713,1.5928382873535156,0.2709330982162265,0.3001819898953783,0.0,0.10233393177737882,0.03529411764705882,0.07272727272727272,0.0,nan,0.0,0.0,0.10588235294117647,0.875,0.03529411764705882,0.38461538461538464
Mekong_474783,262119,1.403996467590332,1.5098466873168945,0.33060000374810095,0.5845514521354661,0.0,0.20139086815253948,0.13953488372093023,0.21297242083758938,0.0,1.0,0.0,nan,0.318159327065809,0.21712359841856244,0.022266204849084613,0.27122263747997866
Mekong_52610,262144,1.84773588180542,3.6336135864257812,0.7076553023142484,0.698189735662193,0.0,0.9986924961300891,0.5815154994259472,0.9972995861495934,0.7411021814006888,0.9977550990267173,0.6343283582089553,0.9975367562158417,0.9064293915040184,0.9958566973632198,0.3455797933409874,0.9942818982428315
Mekong_596495,229483,2.6591358184814453,5.021385192871094,0.8165948901884831,0.7062009926371778,0.0,0.7028236383274186,0.3576965669988926,0.8394362652573298,0.4739756367663344,0.9092132505175984,0.33665559246954596,0.914010989010989,0.9158361018826136,0.6205990869864298,0.2369878183831672,0.7899527983816588
Mekong_774566,227728,1.874443531036377,2.5941858291625977,0.9481053442280462,0.9077989606500972,0.0,0.1589763779527559,0.07455803228285934,0.2527736474894201,0.02997694081475788,0.7993273542600897,0.014604150653343582,0.7887563884156729,0.5249807840122982,0.17561093441764966,0.04688700999231361,0.5908045977011495
Mekong_846007,164030,1.544982671737671,1.7231569290161133,0.5273855330876364,0.5467589844983264,0.0,0.7906861530839733,0.44761904761904764,0.8555078683834049,0.9047619047619048,0.8439917483238782,0.7523809523809524,0.8672985781990521,1.0,0.8267301905717152,0.3142857142857143,0.6736204576043069
Mekong_922373,262138,1.6853795051574707,2.2230210304260254,0.7504523827459195,0.7527438443138772,0.0,0.9755650929899857,0.19324766943814564,0.9817671494330302,0.22663139329805995,0.9893675415235114,0.13945578231292516,0.9879549682774412,0.528344671201814,0.9653057648501839,0.11690602166792644,0.9574178773348601
Mekong_977338,176958,2.1392312049865723,2.8718156814575195,0.9578506749308443,0.9022619052940849,0.0,0.0625,0.0,0.21428571428571427,0.75,0.7884615384615384,0.75,0.851063829787234,0.75,0.07334525939177101,0.0,nan
Mekong_98310,182771,2.6070451736450195,3.7217960357666016,0.9303623661790142,0.8386069498830998,0.0,0.14760251477901848,0.08101851851851852,0.2548449612403101,0.12962962962962962,0.7892857142857143,0.032407407407407406,0.8398637137989778,0.6712962962962963,0.1393601363389883,0.06944444444444445,0.5667506297229219
